,album,artist,duration_ms,energy,genredanceability,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,track_id,track_name,valence
13,My Hands Are Empty,Machine Head,331205,0.956,,0.00653,0,0.303,-5.115,1,51.0,0.165,139.97,4,6uFfNpLvsIesv0dNzsQPvT,My Hands Are Empty,0.11
14,Killing Season,Thy Art Is Murder,212361,0.973,,7e-05,9,0.351,-2.876,1,57.0,0.213,140.153,4,2p6sku9MUxNZZ2n9Fd4u69,Killing Season,0.219
15,Wishing,DevilDriver,259930,0.955,,8.16e-05,2,0.112,-6.308,0,48.0,0.157,132.431,4,46tOJb6N2bxouL0AtUGaTo,Wishing,0.303
16,Blind Kings,Chelsea Grin,242535,0.988,,0.242,11,0.32,-3.62,1,48.0,0.137,106.478,3,6UyUnoGID5hjDrGZ0FpfzK,Blind Kings,0.248
17,POWER UP,AC/DC,210360,0.881,,0.0114,9,0.141,-5.309,1,66.0,0.0387,160.026,4,6jtUOVRO4p09Z7E35ERRL7,Demon Fire,0.564
18,I'm Not Right,Tetrarch,227552,0.947,,0.00389,5,0.399,-3.449,1,51.0,0.0866,199.976,4,6WjD2x0UB9p9dgoZmRsh0o,I'm Not Right,0.329
19,To the Light,Imminence,218291,0.951,,0.0,6,0.312,-4.89,0,56.0,0.0643,75.035,4,79rOnFkYiBBlcCzUMc9HQo,To the Light - Japanese Bonus Track,0.206
20,Surrounded,Wage War,210000,0.979,,0.000426,6,0.108,-5.42,0,52.0,0.136,140.048,4,6lfwa5eEjiBiVzvxf0LHIw,Surrounded,0.143
21,Scarlet Cross,Black Veil Brides,217279,0.95,,0.00239,0,0.356,-2.365,0,56.0,0.187,126.041,4,4fUovW11pjSPFTHVdFCJ8u,Scarlet Cross,0.421
22,Holy Roller (feat. Ryo Kinoshita),Spiritbox,173174,0.967,,0.00261,8,0.318,-6.294,1,55.0,0.111,161.12,4,6JUEcPHJGHwq6aXiN1hz3c,Holy Roller (feat. Ryo Kinoshita),0.132
23,Deconstructing Self-Destruction,Killer Be Killed,273435,0.988,,0.0056,7,0.587,-3.747,1,52.0,0.163,89.797,4,2KjMWAtmj3nIICFv6Gfqdg,Deconstructing Self-Destruction,0.123
24,Habitual Decline,Like Moths To Flames,191548,0.986,,0.000851,6,0.29,-3.797,1,55.0,0.119,116.993,4,43EgxfBHcJr15V5tHOdRSQ,Habitual Decline,0.398
25,Sing for the Damage We've Done,Harakiri for the Sky,485494,0.947,,0.847,3,0.0474,-6.916,0,39.0,0.0547,100.001,4,07XxtKlP6mv8lH0lMOeVFQ,Sing for the Damage We've Done,0.266
26,Choke,Bury Tomorrow,227440,0.981,,9.06e-05,1,0.194,-5.701,1,61.0,0.0936,124.91,4,1BW2QdLe6RtJTMJDSYmg9w,Choke,0.34
27,Midnight Train,The Amity Affliction,196673,0.891,,9.9e-06,8,0.1,-5.634,1,58.0,0.0427,131.941,4,0gT2oxuqDAEth0dY4pqDRS,Midnight Train,0.381
28,Last Rites,Alter Bridge,247987,0.956,,1.17e-05,8,0.319,-4.625,1,33.0,0.0824,144.013,4,0StXbe9r7nKiUV5r9SRDQo,Last Rites,0.43
29,Instinctive (Slaughterlust),Hatebreed,172493,0.974,,0.0,5,0.5,-4.548,0,51.0,0.0896,92.523,4,59eSfGlwNrJdXaypTePAZM,Instinctive (Slaughterlust),0.244
30,The Raging Wrath Of The Easter Bunny Demo,Mr. Bungle,232156,0.987,,0.0312,8,0.0512,-4.968,1,42.0,0.12,124.262,4,43fXnIxfuCFIxUnoUxX0ix,Eracist,0.331
31,Antagonist,Soen,362088,0.973,,0.000135,7,0.379,-4.106,0,55.0,0.0541,107.618,4,4G44da3BuHq3IBEAv9fyuP,Antagonist,0.403
32,Power of the High,Cane Hill,205376,0.967,,8.33e-06,6,0.0637,-3.833,1,51.0,0.181,145.019,4,4wuVcQQfatobaKl4qp60y8,Power of the High,0.167
33,The End of All We Know,Bleed From Within,251512,0.959,,0.00012,6,0.328,-5.104,0,56.0,0.107,149.406,3,14EXZEog1hW97d6yz8ejih,The End of All We Know,0.336
34,A Decade of Destruction Vol. 2,Five Finger Death Punch,181703,0.986,,0.0,4,0.0438,-3.617,1,58.0,0.132,198.555,4,4zob3LsFVWmVVdVEEet6UX,Broken World,0.322
35,Memento Mori,Lamb of God,348100,0.984,,0.788,2,0.127,-4.588,1,9.0,0.102,123.005,4,6V1tb8rFw1nPeOXX4sccTC,Memento Mori,0.0509
36,Weighted,Volumes,224792,0.93,,0.488,1,0.212,-7.056,1,36.0,0.0652,83.992,4,1C4S2kWxnP995aM8ijgB1Q,Weighted,0.383
37,What The Dead Men Say,Trivium,388035,0.965,,3.13e-05,10,0.0598,-4.25,0,63.0,0.197,157.102,4,3fnqNxjN7o0tJe7zOQZV68,Catastrophist,0.488
38,Like a Parasite,Annisokay,232130,0.904,,0.0,9,0.274,-6.207,0,53.0,0.145,175.049,4,2pKCG9n6lszQw8yABVhUIG,Like a Parasite,0.341
39,Another World,Gojira,264947,0.877,,0.783,7,0.119,-5.044,0,62.0,0.0422,169.999,4,5hsq03E3do2gWhyOVV2Api,Another World,0.238
40,Nija,Orbit Culture,314146,0.99,,0.00111,6,0.0937,-2.313,1,51.0,0.155,110.035,4,1AdG8H4pLIROxnQ3KxSvfx,North Star of Nija,0.116
41,Terminal Velocity,John Petrucci,430213,0.96,,0.497,4,0.114,-5.308,0,52.0,0.088,133.245,3,4DkdmrJ1P8v1PFZrBZIuoV,Temple Of Circadia,0.317
42,Throes Of Joy In The Jaws Of Defeatism (Bonus Tracks Version),Napalm Death,245461,0.963,,0.886,7,0.0765,-4.829,1,47.0,0.133,91.439,4,0tlw6V9Zp4JlgR0euf8IZm,Contagion,0.224
43,Underneath the Scars,Kataklysm,226840,0.972,,0.368,7,0.356,-5.689,1,33.0,0.1,108.027,4,3Wr4Ir8HWa3QsHBXbUPSWQ,Underneath the Scars,0.199
44,Culture Head/HWY 666/Black Eyes Blue/CMFT Must Be Stopped (Featuring Tech N9ne and Kid Bookie),Corey Taylor,239141,0.982,,0.654,8,0.187,-3.399,1,39.0,0.062,147.208,4,4ojof8laCdzwYtQhHswbcR,Culture Head,0.366
45,Tuskegee,Zeal & Ardor,228554,0.931,,0.278,7,0.102,-4.644,1,47.0,0.117,142.927,4,0Et31GEaDzy8j6pLLmmvkv,Tuskegee,0.0379
46,Akudama,Alpha Wolf,157412,0.993,,0.00123,1,0.33,-1.115,0,52.0,0.141,170.196,4,6WJHdM16lYFUz4mUnrULi9,Akudama,0.178
47,Snowblood,ERRA,253680,0.983,,0.0148,11,0.0763,-3.186,1,58.0,0.125,125.017,4,5SIVBEbFY1e3L2ri0DWR4h,Snowblood,0.359
48,Home (feat. Drew York),Siamese,237536,0.932,,1.38e-05,5,0.114,-7.039,0,51.0,0.0806,139.999,4,39kp0jbq52k36Il5Vh5Co6,Home (feat. Drew York),0.393
49,5x3,Upon A Burning Body,197507,0.966,,0.132,4,0.191,-4.94,0,50.0,0.112,124.981,4,51xLAqptt4zeNgZDfsiAo9,5x3,0.263
50,Overconfidence,Tallah,306588,0.986,,0.0305,1,0.21,-2.805,0,46.0,0.132,173.025,4,4xuVuWbFvQhVVj35wlWYzC,Overconfidence,0.313
51,Soul Decay,Make Them Suffer,223773,0.914,,0.000192,4,0.226,-5.008,0,30.0,0.0639,83.977,4,44DznBE0M27N10F5oY8BJt,Soul Decay,0.42
52,Stand Alone Complex,The Unguided,237254,0.992,,0.583,7,0.341,-3.809,1,43.0,0.0799,142.048,4,1N0Y7lXUXFwfjes0lN3fJ9,Stand Alone Complex,0.297
53,Abyss,Unleash The Archers,234293,0.982,,1.58e-06,11,0.348,-5.93,0,46.0,0.154,199.982,4,7dNQP5KrsbbbPl59c1ZVrX,Soulbound,0.316
54,Pressure Point,The Ghost Inside,230508,0.988,,0.0,4,0.224,-1.944,1,52.0,0.249,76.065,4,6dSMTj7IJuQc8rgKO10l0E,Pressure Point,0.189
55,Atonement,Killswitch Engage,185067,0.984,,4.99e-06,5,0.349,-4.222,1,55.0,0.0672,103.963,4,2Fup9XFE9sXWu9Qft2Q7ZB,The Signal Fire (feat. Howard Jones),0.192
56,Watch Me Burn,Crystal Lake,209435,0.94,,7.66e-05,2,0.0659,-5.552,0,54.0,0.0664,139.028,4,1y8EEqXNbi7LtBpPLMPRui,Watch Me Burn,0.42
57,Monsters,Currents,212308,0.977,,2.65e-06,4,0.401,-4.204,0,3.0,0.129,100.918,4,3z0qwVdt3UXLgnzkbVTGBG,Monsters,0.174
58,Prosthetic,Haken,358133,0.971,,0.00832,11,0.108,-4.954,1,47.0,0.0851,186.033,3,2tbGvqKO4Xep8mxb29ABOy,Prosthetic,0.26
59,Colossus,Avatar,241738,0.72,,0.0132,1,0.0874,-6.114,0,43.0,0.0363,99.327,4,4eUwT4qcUzz3IW49WzIZe1,Colossus,0.315
60,GHØSTKID,GHØSTKID,214867,0.955,,4.79e-05,4,0.139,-6.512,0,43.0,0.409,165.903,4,6RNCtXa95S7zfu3zeE5vmT,CRØWN (feat. Mille Petrozza),0.0877
61,Animals,Architects,244365,0.759,,0.02,1,0.073,-3.842,0,72.0,0.0319,95.01,4,1Td7TGT1XtK2ojUjz1mGUV,Animals,0.293
62,The Burner,AVOID,237662,0.976,,4.71e-06,2,0.281,-2.756,1,45.0,0.117,101.541,4,4oFKxRhqn3yggXFRqZPxWU,HostAge At A BeAch House PArty,0.256
63,Fooled by a Dream,ALESTI,217520,0.973,,0.0,4,0.0931,-3.553,0,39.0,0.142,93.699,3,6Xbdgb8DnGEJ1i7nQaqYtm,Fooled by a Dream,0.216
64,Massive,VRSTY,195133,0.957,,0.0,0,0.083,-2.849,1,38.0,0.0841,87.508,4,0BMPdd6zvJsA3iILOiPJ7z,Massive,0.495
65,Teardrops,Bring Me The Horizon,215004,0.916,,0.0,7,0.36,-3.323,1,76.0,0.108,96.051,4,3aniWcwiiYKHpm3F5TdeKD,Teardrops,0.401
66,Son,Daze of June,252927,0.971,,0.0,1,0.0733,-3.106,0,37.0,0.121,86.666,3,6qNbi16H71o7SloWlei4f3,Son,0.358
67,Truth Hurts,Glass Tides,201375,0.987,,1.78e-06,5,0.0836,-4.192,1,40.0,0.0888,179.873,4,0491Np0stXpsreInxyT2W8,Truth Hurts,0.144
68,SLEEPS SOCIETY,While She Sleeps,201252,0.947,,1.63e-05,2,0.312,-4.175,1,64.0,0.23,85.044,4,5LteMwtmnx3IOCihvyO4v0,SLEEPS SOCIETY,0.319
69,DEAD TO ME,Awake At Last,220933,0.944,,0.00022,11,0.271,-8.002,0,35.0,0.0547,177.186,4,3dVeJokvFCUkft6nnkvhW1,DEAD TO ME,0.742
70,that won't save us,Against The Current,200588,0.843,,1.75e-05,6,0.0814,-5.904,1,62.0,0.0431,155.059,4,4sB0hXFEmjZJR09ilZWsQw,that won't save us,0.37
71,This Holiday,Dragged Under,214733,0.972,,0.0,9,0.129,-4.206,1,39.0,0.193,170.061,4,4PQkltcPjdiFh2Uvc3Zvhv,This Holiday,0.38
72,Bloom (feat. JT Cavey),A Scent Like Wolves,232920,0.962,,2.49e-05,8,0.0643,-4.366,0,33.0,0.102,125.009,4,7pXi77IKwDERnRqObtCbZa,Bloom (feat. JT Cavey),0.274
73,Fire in the Streets,Our Last Night,176553,0.896,,2.34e-06,1,0.0763,-2.747,0,58.0,0.0719,138.092,4,4S6ItHlMWWD6WehNFJIRkk,Fire in the Streets,0.444
74,The Devil,The Last Element,194143,0.908,,3.39e-06,4,0.0982,-6.051,0,33.0,0.0691,139.892,4,0VYrvrqaidBnwrVJ7H4Ap3,The Devil,0.344
75,Foundations,Until I Wake,196950,0.987,,0.0,4,0.212,-3.242,1,46.0,0.0969,99.956,4,56LUcrcx5QnOJg7FslfwRH,Foundations,0.125
76,No Eternity In Gold,Like Moths To Flames,194897,0.973,,3.34e-06,6,0.244,-3.385,1,54.0,0.0833,145.058,4,1pXq5WSNCbRvUJ5VnqAjIk,Killing What's Underneath,0.715
77,Lost & Forgotten,Affiance,234577,0.964,,0.00122,7,0.354,-2.736,0,34.0,0.0599,120.009,4,5MmZ225j5guy5tHWXA26H3,Lost & Forgotten,0.238
78,Stuck,Villain of the Story,237474,0.808,,0.00251,4,0.068,-4.728,0,46.0,0.0347,95.066,4,6JImYZmp2S1vCHNDtmo4Mj,Stuck,0.0981
79,Everything Ends,The Road to Milestone,217700,0.923,,6.7e-06,8,0.234,-5.46,0,30.0,0.113,150.043,4,6QIxMMNHwKgB3y9zH12P36,Waking Dream,0.396
80,Social Suicide,Bad/Love,235683,0.95,,0.0,8,0.394,-5.075,1,45.0,0.171,169.059,4,5age8OCpmjELfACp8IABO9,Social Suicide,0.272
81,To the Light,Imminence,218291,0.951,,0.0,6,0.312,-4.89,0,56.0,0.0643,75.035,4,79rOnFkYiBBlcCzUMc9HQo,To the Light - Japanese Bonus Track,0.206
82,Scratching at the Surface,2 Shadows,222000,0.961,,3.12e-05,1,0.336,-2.653,1,40.0,0.152,129.975,4,1YSYZWVYTeWhCU9YJEFzSf,Scratching at the Surface,0.253
83,Midnight Train,The Amity Affliction,196673,0.891,,9.9e-06,8,0.1,-5.634,1,58.0,0.0427,131.941,4,0gT2oxuqDAEth0dY4pqDRS,Midnight Train,0.381
84,Cure 4 Psycho,RedHook,157750,0.949,,0.0179,1,0.283,-3.138,1,37.0,0.142,96.0,4,7JlUiuCXUDK5blSa8Gb9Ob,Cure 4 Psycho,0.652
85,Anna,Wildways,259474,0.98,,0.0,6,0.292,-4.632,0,49.0,0.0724,114.009,4,6mfFTYQQviTesc3QixfAaj,The Notebook,0.389
86,Passenger,Kingdom Of Giants,237099,0.972,,0.00298,2,0.342,-5.159,0,52.0,0.0899,110.031,4,13Y0ucbTNhkDx5YelVGEm9,Night Shift,0.265
87,Make It Violent,Wake Up Hate,180000,0.995,,4.44e-06,10,0.0711,-3.184,1,44.0,0.124,145.008,4,1gW20KHeyiVRrLUkbu39eo,Make It Violent,0.239
88,Outta My Face,Designer Disguise,221229,0.941,,0.0,9,0.422,-4.835,0,31.0,0.0856,82.926,4,2ELzYZUmfviZaG7qAsg73J,Outta My Face,0.333
89,Save Me,Dead Like Juliet,249978,0.909,,0.000238,0,0.285,-6.186,0,42.0,0.0725,146.631,4,2vE5gGxZk5fc9YyIj6CJ3b,Save Me,0.185
90,Save Us,Atreyu,141608,0.816,,2.86e-06,0,0.0932,-4.59,1,62.0,0.0743,164.841,4,2Y4lgpOT0sPU1TiTmsbpZh,Save Us,0.385
91,Divide,Assume Nothing,192852,0.953,,0.0334,8,0.118,-7.07,1,47.0,0.0556,101.19,4,7CvPfNwmfjvszj6xiH5jsN,Divide,0.242
92,Ghosts & Bones,Foxblood,244952,0.971,,8.64e-05,11,0.112,-1.775,1,32.0,0.215,87.485,4,6nhOKj2jFh8AF1qEungAvY,Ghosts & Bones,0.466
93,Take Me There,As Everything Unfolds,221855,0.938,,1.69e-06,1,0.232,-5.176,0,44.0,0.0703,85.539,4,5kDqzfhwhntiCOoJqHKhN5,Take Me There,0.287
94,Bury Me Under 豭,October Ends,228000,0.966,,0.00247,3,0.095,-5.214,0,52.0,0.253,140.042,4,5gc9GLALVLpa9CVOZdZznl,Bury Me Under 豭,0.174
95,Udontkno,Lethal Injektion,212088,0.942,,4.31e-06,1,0.0702,-3.193,1,44.0,0.201,96.489,4,1YOTP55KWf1EJKl9fsHHOB,Udontkno,0.466
96,Ghost,Traceless,180677,0.85,,5.47e-05,6,0.148,-3.865,0,42.0,0.124,146.97,4,0LzokrB69B8OJT5bn8VEXH,Ghost,0.435
97,Stand Alone Complex,The Unguided,237254,0.992,,0.583,7,0.341,-3.809,1,43.0,0.0799,142.048,4,1N0Y7lXUXFwfjes0lN3fJ9,Stand Alone Complex,0.297
98,Any Second,Written by Wolves,215481,0.865,,0.000682,6,0.097,-8.169,1,49.0,0.0586,96.88,4,3W1vpLhD41V15wnXKNxKbm,Any Second,0.308
99,Hey Baby,A War Within,179368,0.986,,1.11e-06,6,0.19,-4.853,1,29.0,0.0957,95.012,4,5rKVVWuOuMhjQ6TcTnfQxW,Hey Baby,0.135
100,Never Healing,ENMY,226846,0.893,,1.38e-06,3,0.109,-4.63,0,47.0,0.0591,97.509,4,0opQzKOxiarYl2EUjCjU6B,Never Healing,0.157
101,Somebody Told Me,Motionless In White,199478,0.961,,0.000232,10,0.121,-3.687,0,63.0,0.0776,138.029,4,1KF6uW84ksAUlTMy08gP1R,Somebody Told Me,0.65
102,Invincible (feat. Lindsey Stirling),Escape the Fate,232367,0.9,,9.21e-05,8,0.467,-5.137,1,60.0,0.0414,150.009,4,1PXUZ5Cpat6HipfJkn31ng,Invincible (feat. Lindsey Stirling),0.348
103,(A)tension,Versus Me,224357,0.967,,0.0,5,0.571,-2.796,0,45.0,0.146,140.004,4,3tibWwIzMQVRjWdtTll2GK,(A)tension,0.446
104,Home (feat. Drew York),Siamese,237536,0.932,,1.38e-05,5,0.114,-7.039,0,51.0,0.0806,139.999,4,39kp0jbq52k36Il5Vh5Co6,Home (feat. Drew York),0.393
105,The Rising Tide,The Five Hundred,240250,0.993,,0.000177,4,0.289,-1.876,0,41.0,0.128,120.002,4,5KDysOUDA7wKAYMNhQcnI6,The Rising Tide,0.179
106,Alive,Bury Me Alive,191000,0.984,,0.166,7,0.154,-2.536,1,42.0,0.156,140.029,4,1a1napnXBWZ6ZB9dGkjdLS,Alive,0.173
107,Let It Die,Everyone Loves A Villain,197167,0.963,,0.000435,5,0.346,-4.216,0,41.0,0.15,180.015,4,2lDaRHgqtrtUfy3aPVPR5j,Let It Die,0.352
108,Better Days,Speaking With Ghosts,203878,0.976,,0.000235,5,0.23,-4.804,0,42.0,0.0882,140.066,4,3O3oSNwB5ACD9OoRNrY9qX,Better Days,0.3
109,Drifting,Afterglow,236351,0.951,,0.0145,6,0.425,-4.335,0,43.0,0.0626,114.852,4,0WijWXBzSm4nzqcWW5oQxe,Drifting,0.32
110,Be There for Me,Outloved,228715,0.785,,0.000351,0,0.11,-4.969,1,43.0,0.03,170.017,4,6EfVK0gmzJYWzgVu8JZGAu,Without You,0.0568
111,Red Shade,IMMERSE,227250,0.908,,0.000577,5,0.394,-5.797,0,42.0,0.0481,160.147,4,7iPVcwKSEftsaUza0iwiyQ,Red Shade,0.379
112,Hopeless,Nerv,189304,0.762,,0.00228,4,0.14,-5.97,0,48.0,0.0536,83.101,3,51hmIcx4eHy7R60Gf99Dfj,Hopeless,0.177
113,Bonfire of the Millennials,Annisokay,225425,0.848,,1.9e-06,9,0.105,-7.475,0,52.0,0.0599,94.002,4,4QQ51iHnMPxt2g2P472JS2,Bonfire of the Millennials,0.256
114,Lost in Los Angeles,Devil in the Details,218409,0.892,,0.0151,4,0.121,-3.855,0,42.0,0.0618,90.019,4,0KtfaUkrgjfgxaV2JCVve4,Lost in Los Angeles,0.473
115,Beyond Belief,Holding Absence,256200,0.948,,0.0,1,0.35,-2.567,1,48.0,0.0462,123.035,4,0cybyJF2c9OaJCY4ahBIuD,Beyond Belief,0.458
116,Take Over,Solence,199742,0.849,,0.0,4,0.475,-5.128,1,47.0,0.212,113.084,3,1xAUj8Yzx3VsMbjd92BIay,Take Over,0.363
117,Breaking the Mirror,Fit For A King,214211,0.958,,0.000225,10,0.0744,-4.19,0,58.0,0.112,185.774,4,3Ho0uOyCz245GWUqlWrkf5,Breaking the Mirror,0.434
118,Addicted to Your Heart,Dead Girls Academy,213733,0.939,,0.143,7,0.0644,-4.146,1,44.0,0.0619,137.032,4,7GQv4xY76PBZBohDeNso6a,Addicted to Your Heart,0.398
119,Blackout,The Disaster Area,203695,0.924,,0.0,1,0.347,-7.222,1,44.0,0.0835,195.127,4,0kSM7k3EJOvFNgZZ40SyXb,Blackout,0.266
120,Rainfall,LANDMVRKS,194502,0.981,,2.64e-05,7,0.398,-3.973,1,49.0,0.0964,136.611,4,6YPPk7letRvI1NSBov6Iz7,Rainfall,0.193
121,Shades,Merge,230070,0.871,,0.0,5,0.131,-6.1,0,43.0,0.053,141.997,4,4LFurFcupXaANCdMhImRdx,Shades,0.395
122,Wasting Time,Afterlife,164464,0.941,,0.000747,6,0.1,-5.954,0,45.0,0.0686,84.007,4,4wkNbCituY2LtDKRbgoqH5,Wasting Time,0.547
123,Setting Stone,Skywalker,202000,0.971,,6.15e-06,5,0.0628,-4.925,0,41.0,0.0967,136.942,4,2YaOQqwjkwo5VsK875UJxo,Setting Stone,0.581
124,Resonance,Beyond Awareness,302867,0.965,,0.202,6,0.0518,-3.792,0,42.0,0.0838,140.032,4,1PHuIZDQKEQxIHhPTF2Vjm,Resonance,0.474
125,Escape,Future Palace,202233,0.758,,0.0,7,0.152,-7.364,0,42.0,0.13,169.947,4,3aYV0Bk3yD6u8yfRZAr9fi,Lately,0.32
126,MC Thunder II (Dancing Like a Ninja),Eskimo Callboy,248000,0.96,,0.0,1,0.061,-4.419,1,56.0,0.0918,139.983,4,3kr5RjzyULgH9O9ZHWAEkj,MC Thunder II (Dancing Like a Ninja),0.352
127,Kingdom,FALSET,284947,0.839,,8.29e-05,1,0.0668,-7.257,1,43.0,0.0702,110.011,4,62OWygSqSkYWnSsTRM1Fyk,Kingdom,0.337
128,Snowblood,ERRA,253680,0.983,,0.0148,11,0.0763,-3.186,1,58.0,0.125,125.017,4,5SIVBEbFY1e3L2ri0DWR4h,Snowblood,0.359
129,Through Fire All Things Are Renewed,Noija,227930,0.928,,7.31e-05,10,0.106,-6.206,0,44.0,0.0721,144.842,4,7wtfDQ6cFIuqo00hWcwrYw,Meaning to Your Pain,0.463
130,Ordo,We Set Signals,218286,0.987,,0.000273,4,0.495,-5.801,1,41.0,0.0839,104.82,4,4wcf8HU6tzpEPINCt9Huep,Terminus,0.28
131,Brand New Vision,Point North,170000,0.892,,0.0,4,0.346,-4.527,0,48.0,0.0639,175.067,4,0WWL5rECF9ILJQBwM7nCuZ,No One's Listening,0.55
132,Papercuts,Outline In Color,275000,0.934,,0.0,8,0.0747,-4.6,1,48.0,0.105,95.988,4,4NNgvGEQ2PY84cpJLwMXIU,Papercuts,0.303
133,Finding God Before God Finds Me (Deluxe),Bad Omens,207854,0.968,,4.37e-05,5,0.113,-3.316,1,57.0,0.418,103.005,4,6yyNJbdf5ysREkntoCqPTz,Limits,0.3
134,Criminal,Catch Your Breath,176983,0.941,,0.0,9,0.143,-5.267,0,42.0,0.135,95.008,4,1OfP0hPIbPtL1BXDmX8qCV,Criminal,0.253
135,Watch Me Burn,Crystal Lake,209435,0.94,,7.66e-05,2,0.0659,-5.552,0,54.0,0.0664,139.028,4,1y8EEqXNbi7LtBpPLMPRui,Watch Me Burn,0.42
136,Rise / Fall,Neverland In Ashes,238462,0.882,,0.000362,1,0.147,-9.424,1,39.0,0.0549,109.961,4,0tD0wLeN2X5O7N35mw2JWE,Rise / Fall,0.179
137,Silencer,The Weight of Silence,188467,0.953,,0.000254,2,0.0822,-4.546,1,44.0,0.199,145.038,4,247SpxHbRbSX5DZUrAPlBh,Silencer,0.356
138,Carry On,Falling In Reverse,294765,0.87,,0.0,1,0.361,-4.91,0,66.0,0.0532,149.081,4,3GSMJpuz3rFU8WtCws1rv5,Carry On,0.298
139,Hollow Saints,FALSET,266427,0.956,,0.0146,8,0.087,-5.916,0,41.0,0.248,134.053,4,2zXD3IZuWg7sS2VzUiCQ0I,Hollow Saints,0.188
140,Missed Me?,Aliens ate my Setlist,192000,0.962,,0.923,3,0.0952,-4.901,1,41.0,0.111,110.028,4,1OvAcrMzOMJWi9LaplsOge,Missed Me?,0.446
141,Iron Hearted,Secrets,234356,0.983,,1.48e-05,6,0.075,-1.975,1,45.0,0.123,101.99,4,66TGGaXEBr0XqW4Jt9gON2,Iron Hearted,0.278
142,Holy Roller,Spiritbox,173174,0.951,,0.0107,1,0.937,-6.505,1,40.0,0.0853,161.174,4,464QoEFa53Et91wTKjLmTE,Holy Roller,0.167
143,Radiant Dark,If I Were You,228773,0.982,,0.00164,10,0.105,-3.092,0,45.0,0.106,173.189,4,0ohBBk9raw93dcuLfHFqgn,Always Searching,0.278
144,Shatter,Defences,274041,0.937,,6.11e-06,11,0.119,-3.691,0,40.0,0.0677,125.145,4,4sQK6zHzM70XivF7a4vOx6,Shatter,0.267
145,Forever // Always,In Deception,211707,0.954,,0.00116,5,0.207,-5.497,0,42.0,0.19,161.075,4,1GbGpBlLRrvy7nMm2m5A1q,Forever // Always,0.17
146,A Hundred Shivers ~ [∀] [Chapter Two],Wars,188950,0.981,,0.000487,6,0.177,-2.416,0,39.0,0.102,180.949,4,73c3l2G9XF1K1npXXqLYWT,I Don't Feel A Thing,0.223
147,Apollo,Writing The Future,217000,0.965,,0.146,10,0.0971,-3.744,0,41.0,0.111,119.673,3,6w3DgiLKSPv9bA89micRDm,Apollo,0.494
148,After the Rain,Novelists FR,242005,0.83,,6.62e-05,1,0.0829,-7.357,0,7.0,0.0393,135.983,4,22F5QFDseoPpG388Wnl4FE,After the Rain,0.132
